k,weights,p,mean_cv_acc
3,uniform,2,0.8621600038898057
3,distance,2,0.8619200050896377
5,uniform,2,0.8768400007014859
5,distance,2,0.87666000310139
7,uniform,2,0.8831200239069742
7,distance,2,0.8831000195068702
